2025-09-26 20:40:42 | INFO | Updated JSON file C:/Users/USER/Documents/44671/buzzline-05-dowdle/data/dowdle_live.json with movie=3
2025-09-26 20:40:47 | INFO | {'message': 'I just saw recipe! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-26 20:40:47', 'category': 'food', 'sentiment': 0.14, 'keyword_mentioned': 'recipe', 'message_length': 32}
2025-09-26 20:40:47 | INFO | Processing message: keyword=recipe
2025-09-26 20:40:47 | INFO | Updated JSON file C:/Users/USER/Documents/44671/buzzline-05-dowdle/data/dowdle_live.json with recipe=1
2025-09-26 20:40:52 | INFO | {'message': 'I just found JavaScript! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-26 20:40:52', 'category': 'tech', 'sentiment': 0.31, 'keyword_mentioned': 'JavaScript', 'message_length': 41}
2025-09-26 20:40:52 | INFO | Processing message: keyword=JavaScript
2025-09-26 20:40:52 | INFO | Updated JSON file C:/Users/USER/Documents/44671/buzzline-05-dowdle/data/dowdle_live.json with JavaScript=3
2025-09-26 20:40:57 | INFO | {'message': 'I just saw a story! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-26 20:40:57', 'category': 'other', 'sentiment': 0.44, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-26 20:41:00 | WARNING | Producer interrupted by user.
2025-09-26 20:41:00 | INFO | Kafka producer closed.
2025-09-26 20:41:00 | INFO | Producer shutting down.
