2025-09-25 21:11:52 | INFO | Logging to file: logs/project_log.log
2025-09-25 21:11:52 | INFO | Log sanitization enabled, personal info removed
2025-09-25 21:12:25 | INFO | Logging to file: logs/project_log.log
2025-09-25 21:12:25 | INFO | Log sanitization enabled, personal info removed
2025-09-25 21:13:19 | INFO | Logging to file: logs/project_log.log
2025-09-25 21:13:19 | INFO | Log sanitization enabled, personal info removed
2025-09-25 21:13:19 | INFO | Starting Producer to run continuously.
2025-09-25 21:13:19 | INFO | Use Ctrl+C to stop.
2025-09-25 21:13:19 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-25 21:13:19 | INFO | BUZZ_TOPIC: buzzline
2025-09-25 21:13:19 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-25 21:13:19 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/44671/buzzline-05-dowdle/data
2025-09-25 21:13:19 | INFO | LIVE_DATA_PATH: C:/Users/USER/Documents/44671/buzzline-05-dowdle/data/project_live.json
2025-09-25 21:13:19 | INFO | BASE_DATA_DIR: C:/Users/USER/Documents/44671/buzzline-05-dowdle/data
2025-09-25 21:13:19 | INFO | SQLITE_PATH: C:/Users/USER/Documents/44671/buzzline-05-dowdle/data/buzz.sqlite
2025-09-25 21:13:19 | INFO | Kafka broker address: localhost:9092
2025-09-25 21:13:19 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'N6hvXfg2QL-uPxvF0foOZQ', 'controller_id': 1}
2025-09-25 21:13:21 | WARNING | WARNING: Kafka setup failed: NoBrokersAvailable
2025-09-25 21:13:21 | INFO | {'message': 'I just loved recipe! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-25 21:13:21', 'category': 'food', 'sentiment': 0.99, 'keyword_mentioned': 'recipe', 'message_length': 37}
2025-09-25 21:13:26 | INFO | {'message': 'I just found a trick! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-25 21:13:26', 'category': 'other', 'sentiment': 0.94, 'keyword_mentioned': 'other', 'message_length': 36}
